N_SOLICITUD_EXP	F_ESTUDIO_EXP	SUBPRODUCTO_EXP	No Tarjetas	Cupos	Ingresos	EDAD_EXP	TIPO_VIVIENDA_VIVE_EXP	N_HIJOS_EXP	VIVIENDA_NUEVA_EXP	CANAL_EXP	GENERO_ACT_	ESTADO_CIVIL_ACT_	TIPO_VIVIENDA_ACT_	NIVEL_ACADEM_ACT_	OCUPACION_ACT_	AnosAntiguedadEmpl	AnosRelacionBanco	MORAMAX 18 meses	Mora Inicial	MORA_ACTUAL	Rodo
7165	201312	TarjetaNuestra	1	8,9268	3,891692	42	FAMILIAR	1	SI	Preaprobado	FEMENINO	CASADO		ESPECIALIZACION	EMPLEADO	11,41388889	0	0	31	38	0
7166	201312	TarjetaNuestra	2	5,56	4	54	PROPIA	2	NO	Almacen	FEMENINO	UNION LIBRE	PROPIA	TECNOLOGO	EMPLEADO	7,041666667	23,54722222	0	37	44	0
7167	201312	TarjetaNuestra	1	4	1,489	33	FAMILIAR	0	NO	Almacen	FEMENINO	CASADO		TECNOLOGO	EMPLEADO	8,1	5,897222222	45	34	41	0
7168	201312	TarjetaNuestra	1	20	3,5	30	PROPIA	0	NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,247222222	2,636111111	0	45	52	0
7169	201312	TarjetaMundo	1	40	12,622233	42				Preaprobado	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	0,472222222	22,3	0	41	48	0
7170	201312	TarjetaNuestra	1	5,53	2,300798	33	FAMILIAR	1	SI	Preaprobado	FEMENINO	UNION LIBRE	FAMILIAR	ESPECIALIZACION	EMPLEADO	0,247222222	8,852777778	0	58	65	1
7171	201312	TarjetaNuestra	1	9	0	50	PROPIA	0	SI	Almacen	MASCULINO	SOLTERO	PROPIA	ESPECIALIZACION	EMPLEADO	0	12,93055556	0	42	49	0
7172	201312	TarjetaNuestra	1	10,8	4,689	30	FAMILIAR	0	SI	Preaprobado	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	2,583333333	6,141666667	17	42	49	0
7173	201202	TarjetaNuestra	1	10	8	53					MASCULINO	SOLTERO	ALQUILADA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE		15,98611111	9	37	44	0
7174	201312	TarjetaNuestra	1	4,2	3,8	41	FAMILIAR	0	SI	Preaprobado	MASCULINO	UNION LIBRE		BACHILLER	INDEPENDIENTE	2,830555556	2,180555556	55	40	47	0
7175	201312	TarjetaNuestra	1	8,5	24,8	49	ARRENDADA	1	NO	Almacen	MASCULINO	CASADO		UNIVERSITARIO	COMERCIANTE	0	3,355555556	0	35	0	0
7176	201312	TarjetaNuestra	1	4,2938	14,535	46	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO	INDEPENDIENTE	9,202777778	0,122222222	0	31	38	0
7177	201208	TarjetaNuestra	1	9,8	3,925	49			NO	Almacen	FEMENINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	10,49722222	6,708333333	5	33	40	0
7178	201312	TarjetaNuestra	2	4,9	1,75	30	ARRENDADA	1	SI	Preaprobado	FEMENINO	UNION LIBRE		UNIVERSITARIO	EMPLEADO		8,730555556	5	33	40	0
7179	201312	TarjetaNuestra	1	15,4	96,45675	44	PROPIA	3 Ó MAS	NO	Almacen	MASCULINO	CASADO		NO INFORMA	INDEPENDIENTE		5,85	21	33	40	0
7180	201312	TarjetaNuestra	2	18,90161	8,534	33	FAMILIAR	1	NO	Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	2,555555556	8,4	0	40	47	0
7181	201312	TarjetaNuestra	1	4,2	2,831705	26	PROPIA	0	NO	Almacen	MASCULINO	SOLTERO		NO INFORMA	EMPLEADO	3,247222222	1,919444444	0	36	0	0
7182	201312	TarjetaNuestra	1	13,79	50,418	47	PROPIA	1	SI	Preaprobado	FEMENINO	DIVORCIADO		UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	13,49722222	4,575	0	48	55	0
7183	201312	TarjetaNuestra	1	4,4	1,4166	34	ARRENDADA	3 Ó MAS	SI	Preaprobado	FEMENINO	VIUDO		TECNOLOGO	EMPLEADO		3,280555556	0	36	43	0
7184	201312	TarjetaMundo	2	14	0	28				Almacen	FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO	3,333333333	3,147222222	0	38	45	0
7185	201312	TarjetaNuestra	1	8,47	8,677	39	PROPIA	1	NO	Preaprobado	FEMENINO	SOLTERO		BACHILLER	COMERCIANTE	10,32777778	2,311111111	0	44	51	0
7186	201312	TarjetaNuestra	1	20	12,256	49	ARRENDADA	2	NO	Almacen	FEMENINO	VIUDO	PROPIA	UNIVERSITARIO	EMPLEADO	17,82222222	13,19722222		34	0	0
7187	201208	TarjetaNuestra	2	46,9	18,905334	43			NO	Almacen	MASCULINO	CASADO	FAMILIAR	NO INFORMA	EMPLEADO	13,00277778	18,66666667	6	36	43	0
7188	201312	TarjetaNuestra	1	7,3	0	24	FAMILIAR	0	NO	Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,786111111	7,85		42	49	0
7189	201312	TarjetaNuestra	1	3,2	1,04	24	FAMILIAR	0	SI	Preaprobado	FEMENINO	SOLTERO		TECNOLOGO	EMPLEADO	0	0	0	47	54	0
7190	201208	TarjetaNuestra	1	17,77	11,196699	32			NO	Almacen	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,497222222	9,719444444	0	41	48	0
7191	201312	TarjetaNuestra	1	7	21,7	64	PROPIA	1	NO	Almacen	FEMENINO	VIUDO	PROPIA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE		29,66666667	0	53	60	0
7192	201208	TarjetaNuestra	1	4	1,5	54			NO	Almacen	MASCULINO	CASADO		BACHILLER	JUBILADO	30,11111111	13,08333333	0	44	51	0
7193	201312	TarjetaNuestra	1	8,5	3,5943	49	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	5,477777778	16,12777778		33	40	0
7194	201208	TarjetaNuestra	1	11,3	4,5	34			NO	Almacen	FEMENINO	SOLTERO	NO INFORMA	UNIVERSITARIO	EMPLEADO	10,91388889	9,883333333	0	35	42	0
7195	201312	TarjetaNuestra	1	1	2,176	53	FAMILIAR	0	NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	6,669444444	18,95		47	54	0
7196	201312	TarjetaNuestra	2	11,9	2,585414	27	PROPIA	1	NO	Almacen	MASCULINO	CASADO	NO INFORMA	TECNOLOGO	EMPLEADO	9,877777778	9,138888889	0	31	38	0
7197	201208	TarjetaNuestra	1	6	2,55	32			NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	TECNOLOGO	EMPLEADO		0	214	34	41	0
7198	201312	TarjetaNuestra	1	5	4,364853	66	PROPIA	3 Ó MAS	SI	Almacen	MASCULINO	CASADO	PROPIA	NO INFORMA	JUBILADO	0	27,47222222		56	63	1
7199	201312	TarjetaNuestra	1	13,16	8	43	FAMILIAR	1	SI	Preaprobado	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0,916666667	11,71388889	0	41		0
7200	201312	TarjetaNuestra	1	2,5	1,35	34	FAMILIAR	0	SI	Almacen	FEMENINO	CASADO		UNIVERSITARIO	EMPLEADO	1,583333333	7,361111111	0	60	67	1
7201	201312	TarjetaNuestra	1	8,55	4,69248	29	PROPIA	0	SI	Preaprobado	FEMENINO	CASADO	NO INFORMA	ESPECIALIZACION	EMPLEADO		2,383333333	0	47	54	0
7202	201202	TarjetaNuestra	1	4,5	6,2	44					FEMENINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	2,3	0	0	39	46	0
7203	201312	TarjetaNuestra	1	5	5,408625	32	FAMILIAR	1	NO	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	4,127777778	16,58055556	0	31	38	0
7204	201208	TarjetaNuestra	1	5,62	1,85	34			SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE		9,911111111		31	38	0
7205	201312	TarjetaNuestra	1	20	9,785	46	PROPIA	0	SI	Preaprobado	FEMENINO	SOLTERO		ESPECIALIZACION	EMPLEADO	1,45	22,16388889	0	43	50	0
7206	201208	TarjetaNuestra	1	4,9	2,0667	35			NO	Almacen	MASCULINO	UNION LIBRE	FAMILIAR	BACHILLER	INDEPENDIENTE	3,027777778	14,36666667	0	33	40	0
7207	201312	TarjetaNuestra	2	9,1	3,5	47	PROPIA	1	NO	Almacen	MASCULINO	UNION LIBRE	ALQUILADA	NO INFORMA	EMPLEADO		0,205555556	0	54	61	1
7208	201202	TarjetaNuestra	1	4,5	4,259	43					MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO		0	61	56	63	0
7209	201312	TarjetaColombia	1	4,178615	6,68844	35	ARRENDADA		SI	Preaprobado	MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO	0	0	0	34	41	0
7210	201312	TarjetaNuestra	1	7	4,69248	36	PROPIA	2	NO	Almacen	MASCULINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	1,430555556	0,258333333	0	45	52	0
7211	201208	TarjetaNuestra	1	3,5	2,547	45			SI	Preaprobado	FEMENINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0	16,16111111		48	24	0
7212	201208	TarjetaNuestra	1	2	1,15	49			SI	Almacen	FEMENINO	NO INFORMA			EMPLEADO	0	0		31	38	0
7213	201312	TarjetaNuestra	1	30	9	40	FAMILIAR	1	SI	Almacen	MASCULINO	UNION LIBRE	PROPIA	UNIVERSITARIO	EMPLEADO	8,461111111	13,46944444		49	56	0
7214	201208	TarjetaNuestra	2	21	8,54	32			NO	Almacen	FEMENINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	4,416666667	8,052777778	2	39	46	0
7215	201312	TarjetaNuestra	1	6	3,198	37	PROPIA	0	SI	Almacen	MASCULINO	UNION LIBRE	PROPIA	BACHILLER	SOCIO EMPLEADO - SOCIO	8,911111111	4	2	37		0
7216	201208	TarjetaNuestra	1	6,2	4,2	31			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0	9,155555556		37	44	0
7217	201312	TarjetaNuestra	1	2,11	0,595	55	FAMILIAR	0	SI	Preaprobado	MASCULINO	VIUDO	NO INFORMA	NO INFORMA	EMPLEADO	16,88055556	9,552777778	0	45	52	0
7218	201312	TarjetaNuestra	1	10,5	8,67225	52	ARRENDADA	2	NO	Almacen	FEMENINO	OTRO		TECNOLOGO	INDEPENDIENTE	0	0		39		0
7219	201312	TarjetaMundo	2	22,23	79,492415	46				Almacen	MASCULINO	SOLTERO	PROPIA	ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	9,116666667	11,73333333	0	46		0
7220	201208	TarjetaNuestra	1	5,46	4,6	48			SI	Almacen	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO	14,55833333	5,227777778	0	53	60	0
7221	201312	TarjetaNuestra	1	2,5	14,5	37	FAMILIAR	1	NO	Almacen	MASCULINO	NO INFORMA	ALQUILADA	PRIMARIA	EMPLEADO	8,711111111	5,336111111	6	50	57	0
7222	201312	TarjetaNuestra	1	25	14,152	40	PROPIA	2	NO	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	8,727777778	13,03055556	0	34	41	0
7223	201312	TarjetaColombia	1	15	8,90032	33	FAMILIAR		NO	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	0	0	9	58	65	0
7224	201208	TarjetaNuestra	1	10	3,5	43			SI	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	6,497222222	14,02777778	0	53	60	0
7225	201312	TarjetaNuestra	1	12	4,347619	69	PROPIA	3 Ó MAS	NO	Almacen	FEMENINO	VIUDO	PROPIA	BACHILLER	JUBILADO	0	27,91666667	0	60	67	1
7226	201208	TarjetaNuestra	1	6,3	5,1	43			NO	Almacen	MASCULINO	CASADO		UNIVERSITARIO	PROFESIONAL INDEPENDIENTE		5,069444444	0	42	49	0
7227	201208	TarjetaNuestra	1	7	5	25			SI	Almacen	MASCULINO	CASADO	PROPIA	BACHILLER	EMPLEADO	0	7,333333333	0	53	60	0
7228	201312	TarjetaColombia	2	20	5,529	55	PROPIA		SI	Preaprobado	FEMENINO	NO INFORMA		NO INFORMA	INDEPENDIENTE	0	0	65	31	38	0
7229	201312	TarjetaMundo	1	14,56	7,946	42				Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	0,25	19,88333333	7	34	41	0
7230	201312	TarjetaNuestra	1	6,3	3,11988	30	FAMILIAR	1	NO	Almacen	FEMENINO	SOLTERO	ALQUILADA	TECNOLOGO	EMPLEADO		4,194444444	149	43	50	0
7231	201312	TarjetaNuestra	1	6,23	0	37	PROPIA	3 Ó MAS	SI	Preaprobado	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	12,5	11,625		43	50	0
7232	201208	TarjetaNuestra	2	16,8	6,939528	29			NO	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	3,661111111	6,861111111	1	31	38	0
7233	201312	TarjetaNuestra	2	34,4677	16,197	40	PROPIA	1	NO	Almacen	MASCULINO	VIUDO	ALQUILADA	ESPECIALIZACION	EMPLEADO	1,738888889	9,3	0	41	0	0
7234	201202	TarjetaNuestra	1	9	3	42					FEMENINO	SOLTERO	PROPIA	ESPECIALIZACION	INDEPENDIENTE	0,041666667	16,64722222	0	33	40	0
7235	201208	TarjetaNuestra	2	12,5	11,630333	51			SI	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	COMERCIANTE	0	22,35833333		34	41	0
7236	201312	TarjetaNuestra	2	6	2,400608	30	FAMILIAR	2	NO	Almacen	MASCULINO	CASADO	FAMILIAR	TECNOLOGO	INDEPENDIENTE	0,583333333	6,175	3	34	0	0
7237	201208	TarjetaNuestra	1	3,99	1,52	24			SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,744444444	0,722222222	0	45	52	0
7238	201312	TarjetaNuestra	2	8	2,45	27	FAMILIAR	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	TECNOLOGO	EMPLEADO	3,225	8,077777778	4	38	45	0
7239	201208	TarjetaNuestra	2	22,8197	9,827	34			SI	Almacen	MASCULINO	NO INFORMA	PROPIA	UNIVERSITARIO	OTRA		10,99722222	7	40	47	0
7240	201312	TarjetaNuestra	1	14,98	6,509	35	PROPIA	0	SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	TECNOLOGO	EMPLEADO	2,25	12,10277778	136	37	44	0
7241	201208	TarjetaNuestra	1	8	4,2	30			NO	Almacen	FEMENINO	UNION LIBRE		BACHILLER	INDEPENDIENTE	0	0	0	38	45	0
7242	201312	TarjetaNuestra	1	5,6	0,0001	46	PROPIA	0	NO	Almacen	FEMENINO	SOLTERO	ALQUILADA	NO INFORMA	EMPLEADO	0	0		39	46	0
7243	201312	TarjetaNuestra	1	6	1,808216	31	FAMILIAR	1	SI	Almacen	MASCULINO	SOLTERO			EMPLEADO	0	4,702777778		58	65	1
7244	201208	TarjetaNuestra	1	14	10,3871	53			SI	Almacen	MASCULINO	NO INFORMA	PROPIA	UNIVERSITARIO	EMPLEADO	0	0		37	44	0
7245	201208	TarjetaNuestra	1	18,55	16	32			NO	Almacen	FEMENINO	SOLTERO	PROPIA	NO INFORMA	INDEPENDIENTE	2,491666667	14,81944444	0	35	0	0
7246	201202	TarjetaNuestra	1	10	5,2994	32					MASCULINO	UNION LIBRE		TECNOLOGO	EMPLEADO	1,077777778	5,233333333		51	58	0
7247	201208	TarjetaNuestra	1	4,9	7,874286	45			NO	Almacen	FEMENINO	SOLTERO		PRIMARIA	COMERCIANTE		0	24	37	44	0
7248	201202	TarjetaNuestra	1	9,8	12,784223	44					MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO		21,86944444	33	54	61	0
7249	201208	TarjetaNuestra	1	16	8,9	50			NO	Almacen	FEMENINO	DIVORCIADO			INDEPENDIENTE	0	0		49	56	0
7250	201208	TarjetaNuestra	2	4,2	2,195698	36			NO	Almacen	MASCULINO	UNION LIBRE		ESPECIALIZACION	COMERCIANTE		0	136	36	43	0
7251	201208	TarjetaNuestra	1	7	2,921625	32			NO	Almacen	MASCULINO	CASADO		BACHILLER	SOCIO EMPLEADO - SOCIO	0	0	22	41	48	0
7252	201208	TarjetaNuestra	1	26	18,5	38			SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	0	5,838888889	17	36	43	0
7253	201312	TarjetaNuestra	2	7	3,6	29	ARRENDADA	0	NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO	8,388888889	3,786111111	3	40	47	0
7254	201208	TarjetaNuestra	1	5,6	1,94151	53			NO	Almacen	MASCULINO	UNION LIBRE		PRIMARIA	EMPLEADO	12,23611111	0,019444444	2	37	44	0
7255	201312	TarjetaColombia	1	7,07	3,9	38	PROPIA		SI	Almacen	FEMENINO	CASADO		UNIVERSITARIO	EMPLEADO		2,327777778	0	52	59	0
7256	201208	TarjetaNuestra	1	2,1	1,165	23			NO	Almacen	MASCULINO	NO INFORMA			ESTUDIANTE	0	0	87	33	40	0
7257	201312	TarjetaNuestra	1	4	1,721751	35	FAMILIAR	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	10,41666667	12,48888889	0	31	38	0
7258	201202	TarjetaNuestra	1	14,7	9	42					FEMENINO	SOLTERO		NO INFORMA	INDEPENDIENTE	0	0	0	47	54	0
7259	201208	TarjetaNuestra	1	5,2638	1,568695	29			SI	Almacen	MASCULINO	SOLTERO		ESPECIALIZACION	EMPLEADO		0	0	37	44	0
7260	201312	TarjetaNuestra	1	6,14	5,995	60	OTRAS	0	SI	Preaprobado	FEMENINO	VIUDO	PROPIA	UNIVERSITARIO	JUBILADO	0	28,94444444	0	41	48	0
7261	201208	TarjetaNuestra	1	2	1,5678	47			NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	EMPLEADO	15,15	0,605555556	0	37	44	0
7262	201312	TarjetaMundo	1	30	27,247	50				Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	0	30	0	42	49	0
7263	201312	TarjetaNuestra	2	20,6	9	30	FAMILIAR	2	SI	Preaprobado	MASCULINO	NO INFORMA	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	3,469444444	4,458333333	2	60	67	1
7264	201312	TarjetaNuestra	1	3,65	32,621833	68	FAMILIAR	0	SI	Preaprobado	FEMENINO	CASADO	FAMILIAR	BACHILLER	INDEPENDIENTE	15,58055556	31,19722222	17	43	50	0
7265	201208	TarjetaNuestra	1	4,9	2,4935	31			NO	Almacen	MASCULINO	NO INFORMA	FAMILIAR	TECNOLOGO	EMPLEADO		10,24722222	9	56	1	0
7266	201312	TarjetaNuestra	1	5,6374	7,277	47	ARRENDADA	0	NO	Almacen	FEMENINO	CASADO	PROPIA	ESPECIALIZACION	PROFESIONAL INDEPENDIENTE		25,97777778	0	46	53	0
7267	201208	TarjetaNuestra	1	32,9	70,000005	43			NO	Almacen	MASCULINO	NO INFORMA	ALQUILADA	UNIVERSITARIO	INDEPENDIENTE	20,325	0	81	43	50	0
7268	201208	TarjetaNuestra	1	14	7,5	32			NO	Almacen	FEMENINO	SOLTERO		ESPECIALIZACION	EMPLEADO	1,263888889	0	81	35	42	0
7269	201312	TarjetaNuestra	1	3	2,109136	33	ARRENDADA	2	NO	Almacen	FEMENINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0,819444444	0,116666667	20	35	42	0
7270	201312	TarjetaNuestra	1	5,586	3,8	38	FAMILIAR	1	SI	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,527777778	9,538888889	0	51	58	0
7271	201312	TarjetaNuestra	1	16,24	15	30	PROPIA	0	SI	Preaprobado	MASCULINO	UNION LIBRE	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	7,363888889	8,275		31	38	0
7272	201202	TarjetaNuestra	2	5	95,860004	37					MASCULINO	NO INFORMA		BACHILLER	INDEPENDIENTE		0		46	53	0
7273	201208	TarjetaNuestra	1	4	4,8	51			NO	Almacen	MASCULINO	CASADO	PROPIA	TECNOLOGO	EMPLEADO	30,10833333	24,575	0	42	49	0
7274	201312	TarjetaNuestra	1	10,5	13,439751	45	FAMILIAR	2	NO	Almacen	MASCULINO	CASADO	PROPIA	TECNOLOGO	SOCIO EMPLEADO - SOCIO	4,152777778	1,272222222	0	31	38	0
7275	201312	TarjetaNuestra	1	21	9	21	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO	ALQUILADA	BACHILLER	COMERCIANTE	0	9,252777778		36	43	0
7276	201208	TarjetaNuestra	2	14	2,789	27			SI	Almacen	FEMENINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	6,211111111	7,555555556	0	52	0	0
7277	201312	TarjetaNuestra	1	5,5	74,324416	45	PROPIA	0	SI	Preaprobado	MASCULINO	UNION LIBRE		BACHILLER	INDEPENDIENTE	0	4,8	0	39	46	0
7278	201208	TarjetaNuestra	1	4	5,238943	36			SI	Almacen	MASCULINO	NO INFORMA	PROPIA	NO INFORMA	EMPLEADO		11,15	41	54	61	0
7279	201312	TarjetaNuestra	1	16,99	9	28	PROPIA	0	SI	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO	EMPLEADO		1,144444444	0	32	39	0
7280	201208	TarjetaNuestra	2	9,1	3,247899	62			SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	JUBILADO	5,525	20,73611111	0	32	39	0
7281	201312	TarjetaNuestra	2	13,75	12	42	PROPIA	1	SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	16,75	16,98888889	0	47	54	0
7282	201312	TarjetaNuestra	1	5,5	0	43	ARRENDADA	2	SI	Preaprobado	MASCULINO	NO INFORMA			EMPLEADO	0	0		31	38	0
7283	201208	TarjetaNuestra	1	5,25	2,2	30			SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0	8,625	89	50	57	0
7284	201312	TarjetaNuestra	2	25,2	7,359	46	ARRENDADA	2	NO	Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	29,85277778	18,36666667	0	50	0	0
7285	201312	TarjetaNuestra	1	4,4625	2,6687	26	ARRENDADA	1	NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	5,741666667	0	0	44	51	0
7286	201312	TarjetaNuestra	1	6	2,820102	21	FAMILIAR	0	SI	Almacen	FEMENINO	SOLTERO		NO INFORMA	EMPLEADO		0		38	45	0
7287	201208	TarjetaNuestra	2	4,172	1,1163	33			SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	1,5	6,358333333	8	35	0	0
7288	201208	TarjetaNuestra	1	20	69,455	55			NO	Almacen	MASCULINO	CASADO	PROPIA	BACHILLER	GANADERO	0	23,58333333	0	52	59	0
7289	201312	TarjetaNuestra	2	6	0	51	PROPIA	1	NO	Almacen	FEMENINO	NO INFORMA	PROPIA	UNIVERSITARIO	EMPLEADO	0	0	19	31	38	0
7290	201312	TarjetaNuestra	1	10	6,553952	49	FAMILIAR	0	SI	Preaprobado	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	5,569444444	7,255555556	0	45	52	0
7291	201312	TarjetaNuestra	2	21,9	7,787708	34	PROPIA	0	SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	10,5	16	0	51	58	0
7292	201208	TarjetaNuestra	1	10,934	8	30			SI	Almacen	FEMENINO	NO INFORMA	ALQUILADA	NO INFORMA	EMPLEADO	0	8,769444444		46	53	0
7293	201312	TarjetaNuestra	1	11,6676	6,838	41	FAMILIAR	1	SI	Preaprobado	MASCULINO	UNION LIBRE	ALQUILADA	ESPECIALIZACION	DESEMPLEADO SIN INGRESOS	2,541666667	14,77222222	1	33	40	0
7294	201312	TarjetaNuestra	1	10,493	3,103867	30	FAMILIAR	0	SI	Preaprobado	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,5	2,522222222	0	53	60	0
7295	201312	TarjetaNuestra	1	8,708	2,12352	33	FAMILIAR	1	SI	Preaprobado	FEMENINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	13,75	14,575		43	50	0
7296	201202	TarjetaNuestra	2	22,5	13	51					MASCULINO	CASADO	PROPIA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE		7,419444444	0	54	61	1
7297	201208	TarjetaNuestra	1	21,9217814	20	45			NO	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	0,241666667	22,825	0	52	59	0
7298	201312	TarjetaMundo	2	15,7986	6,8	54				Preaprobado	FEMENINO	NO INFORMA			EMPLEADO	0	3,072222222	0	48	55	0
7299	201208	TarjetaNuestra	1	13	7,811258	45			NO	Almacen	MASCULINO	NO INFORMA		NINGUNO	INDEPENDIENTE	7,108333333	0	0	37	44	0
7300	201312	TarjetaNuestra	1	4,05636	12,529	54	PROPIA	3 Ó MAS	NO	Almacen	MASCULINO	CASADO	PROPIA	PRIMARIA	AGRICULTOR	0	22,11111111	28	35	42	0
7301	201312	TarjetaNuestra	1	4,5	0,9471	28	ARRENDADA	0	SI	Preaprobado	FEMENINO	SOLTERO	NO INFORMA	NO INFORMA	EMPLEADO		0	3	51	58	0
7302	201312	TarjetaNuestra	1	13,38952	5,178	57	FAMILIAR	2	SI	Almacen	MASCULINO	NO INFORMA			EMPLEADO	0	0	0	48	0	0
7303	201208	TarjetaNuestra	2	4,8	2,8	36			SI	Almacen	FEMENINO	NO INFORMA		UNIVERSITARIO	OTRA	0	0		36	43	0
7304	201312	TarjetaNuestra	1	2,5	0,97666	27	FAMILIAR	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	ESTUDIANTE	0	2,133333333	0	48	55	0
7305	201312	TarjetaNuestra	1	3,01	0	29	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO	ALQUILADA	BACHILLER	COMERCIANTE	10,13888889	10,15		32	39	0
7306	201208	TarjetaNuestra	1	2,1	1,525792	29			NO	Almacen	MASCULINO	CASADO		BACHILLER	EMPLEADO		0,933333333	0	47	54	0
7307	201208	TarjetaNuestra	1	3,1	2,023587	41			SI	Almacen	MASCULINO	UNION LIBRE		UNIVERSITARIO	INDEPENDIENTE		1,141666667	0	36	43	0
7308	201208	TarjetaNuestra	2	4	2,1	51			NO	Almacen	MASCULINO	CASADO	PROPIA	TECNOLOGO	EMPLEADO	18,90277778	13,77222222	0	34	10	0
7309	201312	TarjetaNuestra	1	10	5	27	FAMILIAR	0	NO	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	COMERCIANTE	3,813888889	10,26666667	0	55	62	1
7310	201312	TarjetaNuestra	2	2,7	0,5992	51	FAMILIAR	0	NO	Almacen	FEMENINO	VIUDO		NO INFORMA	EMPLEADO		1,030555556	0	53	60	0
